j ratio accept a b
0 5.46344491755e-24 False 0.3 0.2
1 1.23345942804e-78 False 0.3 0.2
2 9.99366367744e-49 False 0.3 0.2
3 9.66780031118e-62 False 0.3 0.2
4 1.10834682895e-29 False 0.3 0.2
5 2.61269927251e+82 True 0.30277164765795067 0.46433013293866554
6 5.12308197075e+49 True 0.37322500944690873 0.5423962563223467
7 1.99737276858e+23 True 0.44198145983025494 0.6555811778617127
8 6.82558947588e-07 False 0.44198145983025494 0.6555811778617127
9 4.93904604247e-26 False 0.44198145983025494 0.6555811778617127
10 9956.2634183 True 0.5145852056315025 0.6524789099675847
11 1.74682339526e-07 False 0.5145852056315025 0.6524789099675847
12 4.09230156155e-20 False 0.5145852056315025 0.6524789099675847
13 0.00193230011597 False 0.5145852056315025 0.6524789099675847
14 1.27130911481e-24 False 0.5145852056315025 0.6524789099675847
15 1.88783776208e-06 False 0.5145852056315025 0.6524789099675847
16 2.49599326694e-05 False 0.5145852056315025 0.6524789099675847
17 0.00136995676243 False 0.5145852056315025 0.6524789099675847
18 5.5846462218e-11 False 0.5145852056315025 0.6524789099675847
19 0.0167782935711 False 0.5145852056315025 0.6524789099675847
20 4.9585172629e-46 False 0.5145852056315025 0.6524789099675847
21 27.8113683579 True 0.5105639253852834 0.5707642034786532
22 1.62259237132e-07 False 0.5105639253852834 0.5707642034786532
23 5.07180549554e-17 False 0.5105639253852834 0.5707642034786532
24 3.19248965157e-14 False 0.5105639253852834 0.5707642034786532
25 0.0023088366 False 0.5105639253852834 0.5707642034786532
26 8.06363610485e-36 False 0.5105639253852834 0.5707642034786532
27 0.0180258407598 False 0.5105639253852834 0.5707642034786532
28 0.00564310270838 False 0.5105639253852834 0.5707642034786532
29 3.14228931197e-06 False 0.5105639253852834 0.5707642034786532
30 0.282024688824 False 0.5105639253852834 0.5707642034786532
31 3.64363268656e-13 False 0.5105639253852834 0.5707642034786532
32 5.15772118967e-07 False 0.5105639253852834 0.5707642034786532
33 5.0567105353e-12 False 0.5105639253852834 0.5707642034786532
34 2.66771568224 True 0.5053386193436809 0.6110053490147269
35 0.23588984984 False 0.5053386193436809 0.6110053490147269
36 5.41867363363e-10 False 0.5053386193436809 0.6110053490147269
37 0.179674439836 False 0.5053386193436809 0.6110053490147269
38 0.0422648438893 False 0.5053386193436809 0.6110053490147269
39 0.000106190637442 False 0.5053386193436809 0.6110053490147269
40 0.853753474821 True 0.48851712382939705 0.5857828877322401
41 1.7618747976e-06 False 0.48851712382939705 0.5857828877322401
42 0.000382271983012 False 0.48851712382939705 0.5857828877322401
43 3.48039179304e-12 False 0.48851712382939705 0.5857828877322401
44 2.95721680415e-11 False 0.48851712382939705 0.5857828877322401
45 3.23262166392e-10 False 0.48851712382939705 0.5857828877322401
46 2.21293337995e-06 False 0.48851712382939705 0.5857828877322401
47 0.000227059365562 False 0.48851712382939705 0.5857828877322401
48 2.13420420687e-06 False 0.48851712382939705 0.5857828877322401
49 1.21589418119e-09 False 0.48851712382939705 0.5857828877322401
50 7.41120721916e-07 False 0.48851712382939705 0.5857828877322401
51 0.0178278323453 False 0.48851712382939705 0.5857828877322401
52 0.00541770214469 False 0.48851712382939705 0.5857828877322401
53 1.83009044662e-13 False 0.48851712382939705 0.5857828877322401
54 1.48340855676e-12 False 0.48851712382939705 0.5857828877322401
55 2.21846892586e-34 False 0.48851712382939705 0.5857828877322401
56 9.37859800221e-11 False 0.48851712382939705 0.5857828877322401
57 0.369669578667 False 0.48851712382939705 0.5857828877322401
58 0.000460017223097 False 0.48851712382939705 0.5857828877322401
59 0.026025537115 False 0.48851712382939705 0.5857828877322401
60 6.2838662083e-09 False 0.48851712382939705 0.5857828877322401
61 9.364151067e-10 False 0.48851712382939705 0.5857828877322401
62 8.65467617476e-13 False 0.48851712382939705 0.5857828877322401
63 1.80504871432e-09 False 0.48851712382939705 0.5857828877322401
64 0.0935739774954 True 0.5063424657612516 0.6462846530464211
65 3.33914255246e-15 False 0.5063424657612516 0.6462846530464211
66 0.570843742388 True 0.4673187473096911 0.6016886398247283
67 8.77423393868e-38 False 0.4673187473096911 0.6016886398247283
68 6.26798575516e-07 False 0.4673187473096911 0.6016886398247283
69 0.00514177208845 False 0.4673187473096911 0.6016886398247283
70 0.000494271127964 False 0.4673187473096911 0.6016886398247283
71 5.38830219197e-15 False 0.4673187473096911 0.6016886398247283
72 6.00237741967e-33 False 0.4673187473096911 0.6016886398247283
73 2.18955660353e-08 False 0.4673187473096911 0.6016886398247283
74 5.45570073851e-13 False 0.4673187473096911 0.6016886398247283
75 1.76900090271e-14 False 0.4673187473096911 0.6016886398247283
76 1.88161383271e-48 False 0.4673187473096911 0.6016886398247283
77 3.73692193458e-09 False 0.4673187473096911 0.6016886398247283
78 2.04143543686 True 0.47264663041135696 0.6250778316504075
79 2.0392161974e-26 False 0.47264663041135696 0.6250778316504075
80 13.8691845354 True 0.4917745453761328 0.607844295173596
81 1.04894044304e-05 False 0.4917745453761328 0.607844295173596
82 5.94558822344e-07 False 0.4917745453761328 0.607844295173596
83 4.49414685283e-07 False 0.4917745453761328 0.607844295173596
84 6.63754833936e-19 False 0.4917745453761328 0.607844295173596
85 1.16379897486e-06 False 0.4917745453761328 0.607844295173596
86 2.86347421705e-13 False 0.4917745453761328 0.607844295173596
87 3.08236749463e-06 False 0.4917745453761328 0.607844295173596
88 2.00936017157e-11 False 0.4917745453761328 0.607844295173596
89 5.90503976947e-22 False 0.4917745453761328 0.607844295173596
90 1.09134555153e-11 False 0.4917745453761328 0.607844295173596
91 4.94044011252e-06 False 0.4917745453761328 0.607844295173596
92 2.71428301465e-25 False 0.4917745453761328 0.607844295173596
93 1.36205493154e-08 False 0.4917745453761328 0.607844295173596
94 1.3137337393e-05 False 0.4917745453761328 0.607844295173596
95 5.94625548503e-06 False 0.4917745453761328 0.607844295173596
96 0.164422725653 False 0.4917745453761328 0.607844295173596
97 4.43960907443e-42 False 0.4917745453761328 0.607844295173596
98 0.000531379712754 False 0.4917745453761328 0.607844295173596
