j ratio accept a b
164 4.78946870758e-05 False 0.497849347325583 0.6563768521581016
165 1.33990806752e-11 False 0.497849347325583 0.6563768521581016
166 4.70128451854e-08 False 0.497849347325583 0.6563768521581016
167 8.16101350386e-07 False 0.497849347325583 0.6563768521581016
168 1.05451968827e-21 False 0.497849347325583 0.6563768521581016
169 6.17009265417e-19 False 0.497849347325583 0.6563768521581016
170 0.204438911525 False 0.497849347325583 0.6563768521581016
171 3.91904727303e-34 False 0.497849347325583 0.6563768521581016
172 2.34579432882e-29 False 0.497849347325583 0.6563768521581016
173 0.00046494585861 False 0.497849347325583 0.6563768521581016
174 0.00104866684562 False 0.497849347325583 0.6563768521581016
175 0.0141761078395 False 0.497849347325583 0.6563768521581016
176 2.33434813301e-08 False 0.497849347325583 0.6563768521581016
177 0.000444525600482 False 0.497849347325583 0.6563768521581016
178 0.000811752740931 False 0.497849347325583 0.6563768521581016
179 9.06688259971e-18 False 0.497849347325583 0.6563768521581016
180 2.84559118126e-07 False 0.497849347325583 0.6563768521581016
181 2.42600540714e-05 False 0.497849347325583 0.6563768521581016
182 12.9416030501 True 0.512693964737679 0.6084327736715961
183 9.10618776213e-10 False 0.512693964737679 0.6084327736715961
184 7.04954877224e-19 False 0.512693964737679 0.6084327736715961
185 8.55699163425e-16 False 0.512693964737679 0.6084327736715961
186 4.09077474659e-06 False 0.512693964737679 0.6084327736715961
187 5.3664171425e-16 False 0.512693964737679 0.6084327736715961
188 9.2332349476e-05 False 0.512693964737679 0.6084327736715961
189 2.07207177399 True 0.5064467637127893 0.6020648112815925
190 1.57678335767e-09 False 0.5064467637127893 0.6020648112815925
191 0.0047947918333 False 0.5064467637127893 0.6020648112815925
192 8.61730612331e-08 False 0.5064467637127893 0.6020648112815925
193 1.29148969301 True 0.49666306857693443 0.6080223406488465
194 0.0542930881733 False 0.49666306857693443 0.6080223406488465
195 2.73345033272e-30 False 0.49666306857693443 0.6080223406488465
196 2.12354224074e-08 False 0.49666306857693443 0.6080223406488465
197 4.169272114e-14 False 0.49666306857693443 0.6080223406488465
198 2.16803415657e-06 False 0.49666306857693443 0.6080223406488465
199 3.81882373834e-10 False 0.49666306857693443 0.6080223406488465
200 2.77268601186e-15 False 0.49666306857693443 0.6080223406488465
201 6.11266193168e-22 False 0.49666306857693443 0.6080223406488465
202 3.75304741721e-05 False 0.49666306857693443 0.6080223406488465
203 0.0634918795808 False 0.49666306857693443 0.6080223406488465
204 1.44104459536e-06 False 0.49666306857693443 0.6080223406488465
205 3.49319647507e-07 False 0.49666306857693443 0.6080223406488465
206 1.95451408833e-12 False 0.49666306857693443 0.6080223406488465
207 3.27500685019e-06 False 0.49666306857693443 0.6080223406488465
