j ratio accept a b
0 1.99715393438e-108 False 1.0 1.0
1 9.94148103592e-294 False 1.0 1.0
2 2.96193884225e-135 False 1.0 1.0
3 2.27652907337e-240 False 1.0 1.0
4 3.66100477445e-54 False 1.0 1.0
5 4.60870486138e-168 False 1.0 1.0
6 9.09961697861e-110 False 1.0 1.0
7 7.46334952766e+77 True 0.9622764215598704 0.9737477635146178
8 5.70065213458e-84 False 0.9622764215598704 0.9737477635146178
9 7.2495013156e+145 True 0.8939969348580713 0.8736485400732783
10 2.78876831985e+104 True 0.8152054981743591 0.86103725255862
11 2.12719362647e-32 False 0.8152054981743591 0.86103725255862
12 17696.1658448 True 0.77145874577734 0.9748055401636468
13 2.901873332e-35 False 0.77145874577734 0.9748055401636468
14 3.03954816893e-81 False 0.77145874577734 0.9748055401636468
15 3.39653877835e-41 False 0.77145874577734 0.9748055401636468
16 6.58009556767e+35 True 0.789936905602099 0.8194786633726121
17 5.69671668548e+56 True 0.6907918228881903 0.9172294610892469
18 22575170.9003 True 0.7233075348768344 0.8107490852053938
19 6.75796259569e+69 True 0.5875246331333251 0.8488267724396317
20 4430831994.22 True 0.590500870881776 0.8044400102318356
21 1.79846719959e-14 False 0.590500870881776 0.8044400102318356
22 7.65476867638e+17 True 0.5895242652060337 0.7010958941182049
23 5.98829119591e+15 True 0.48684895600390404 0.7083227704186547
24 7.07524047411e-07 False 0.48684895600390404 0.7083227704186547
25 4.87507454942e-10 False 0.48684895600390404 0.7083227704186547
26 5.5084048412e-11 False 0.48684895600390404 0.7083227704186547
27 1.26731837281 True 0.4862962829272604 0.7072542572323338
28 7.38251656397e-13 False 0.4862962829272604 0.7072542572323338
29 0.000330161145921 False 0.4862962829272604 0.7072542572323338
30 0.264594795947 False 0.4862962829272604 0.7072542572323338
31 6.75906617578e-09 False 0.4862962829272604 0.7072542572323338
32 1.30961794073e-17 False 0.4862962829272604 0.7072542572323338
33 1.27004632792e-31 False 0.4862962829272604 0.7072542572323338
34 8.5527175349e-08 False 0.4862962829272604 0.7072542572323338
35 4.75650937421e-16 False 0.4862962829272604 0.7072542572323338
36 1.33007777191e-17 False 0.4862962829272604 0.7072542572323338
37 0.0857770883738 False 0.4862962829272604 0.7072542572323338
38 2228.33085905 True 0.4615211385739231 0.5949263720870147
39 22.1341336888 True 0.4928522161226321 0.5587258597058565
40 0.00808243837246 False 0.4928522161226321 0.5587258597058565
41 2.29616327742e-20 False 0.4928522161226321 0.5587258597058565
42 0.00275416280956 False 0.4928522161226321 0.5587258597058565
43 5.66855242823e-10 False 0.4928522161226321 0.5587258597058565
44 4.27522611516e-19 False 0.4928522161226321 0.5587258597058565
45 0.000258135932655 False 0.4928522161226321 0.5587258597058565
46 1.01742435704e-29 False 0.4928522161226321 0.5587258597058565
47 4.60468901095e-06 False 0.4928522161226321 0.5587258597058565
48 2.19781144513e-32 False 0.4928522161226321 0.5587258597058565
49 1.39692850725 True 0.4988360550973825 0.6384553761011605
50 1.01795525337e-39 False 0.4988360550973825 0.6384553761011605
51 1.11230973961e-18 False 0.4988360550973825 0.6384553761011605
52 2.10269176614e-27 False 0.4988360550973825 0.6384553761011605
53 0.00133229088844 False 0.4988360550973825 0.6384553761011605
54 3.66472041508e-06 False 0.4988360550973825 0.6384553761011605
55 5.47711064075e-22 False 0.4988360550973825 0.6384553761011605
56 4.22356595366e-13 False 0.4988360550973825 0.6384553761011605
57 1.0677351646e-06 False 0.4988360550973825 0.6384553761011605
58 5.0258818316e-25 False 0.4988360550973825 0.6384553761011605
59 6.04009988491e-08 False 0.4988360550973825 0.6384553761011605
60 5.4672531649e-14 False 0.4988360550973825 0.6384553761011605
61 6.33750929619e-30 False 0.4988360550973825 0.6384553761011605
62 8.1865821416e-11 False 0.4988360550973825 0.6384553761011605
63 0.0154374951224 False 0.4988360550973825 0.6384553761011605
64 5.53304261752e-08 False 0.4988360550973825 0.6384553761011605
65 0.00116926818785 False 0.4988360550973825 0.6384553761011605
66 0.0573202419796 False 0.4988360550973825 0.6384553761011605
67 0.000379015406294 False 0.4988360550973825 0.6384553761011605
68 0.417028687769 False 0.4988360550973825 0.6384553761011605
69 5.87303724319e-08 False 0.4988360550973825 0.6384553761011605
70 0.0118494830583 False 0.4988360550973825 0.6384553761011605
71 0.262622702354 True 0.4929449784429651 0.5491195852446566
72 1.65567240047e-05 False 0.4929449784429651 0.5491195852446566
73 0.951116970031 True 0.4701625590891666 0.5910855811540298
74 8.01624110714e-05 False 0.4701625590891666 0.5910855811540298
75 0.000209410186902 False 0.4701625590891666 0.5910855811540298
76 0.039282826695 False 0.4701625590891666 0.5910855811540298
77 6.5699316748e-09 False 0.4701625590891666 0.5910855811540298
78 2.72040444799e-16 False 0.4701625590891666 0.5910855811540298
79 3.09231390334 True 0.5079031805947873 0.5599605736849592
80 0.939159597698 True 0.4751065034356525 0.6152246595407227
81 2.48643494947e-08 False 0.4751065034356525 0.6152246595407227
82 5.5523332063e-28 False 0.4751065034356525 0.6152246595407227
83 5.42057206211e-08 False 0.4751065034356525 0.6152246595407227
84 4.74700696675e-08 False 0.4751065034356525 0.6152246595407227
85 5.59320098194e-07 False 0.4751065034356525 0.6152246595407227
86 9.76105954598e-15 False 0.4751065034356525 0.6152246595407227
87 2.17653818833e-10 False 0.4751065034356525 0.6152246595407227
88 5.66702469208e-06 False 0.4751065034356525 0.6152246595407227
89 1.16592997439e-19 False 0.4751065034356525 0.6152246595407227
90 5.68350691192e-06 False 0.4751065034356525 0.6152246595407227
91 4.18170467938e-08 False 0.4751065034356525 0.6152246595407227
92 1.74409836146e-46 False 0.4751065034356525 0.6152246595407227
93 2.165597798e-14 False 0.4751065034356525 0.6152246595407227
94 2.18269249512e-09 False 0.4751065034356525 0.6152246595407227
95 1.87992243582e-09 False 0.4751065034356525 0.6152246595407227
96 6.71824760054e-10 False 0.4751065034356525 0.6152246595407227
97 1.62640743236e-05 False 0.4751065034356525 0.6152246595407227
98 0.152565437991 False 0.4751065034356525 0.6152246595407227
99 0.0110836682499 False 0.4751065034356525 0.6152246595407227
100 1.38553190567e-35 False 0.4751065034356525 0.6152246595407227
101 0.000207835293831 False 0.4751065034356525 0.6152246595407227
102 1.22571044947e-05 False 0.4751065034356525 0.6152246595407227
103 0.53091618443 True 0.5014791934892111 0.5504524597690367
104 0.00229346738899 False 0.5014791934892111 0.5504524597690367
105 4.26763729479e-20 False 0.5014791934892111 0.5504524597690367
106 4.14098062859e-12 False 0.5014791934892111 0.5504524597690367
107 1.58786937762e-19 False 0.5014791934892111 0.5504524597690367
108 0.0195229900732 False 0.5014791934892111 0.5504524597690367
109 4.72501874218e-12 False 0.5014791934892111 0.5504524597690367
110 0.000214392853478 False 0.5014791934892111 0.5504524597690367
111 0.493765067328 False 0.5014791934892111 0.5504524597690367
112 2.28461242696e-06 False 0.5014791934892111 0.5504524597690367
113 0.000100976101568 False 0.5014791934892111 0.5504524597690367
114 0.465045532239 False 0.5014791934892111 0.5504524597690367
115 0.00267821083664 False 0.5014791934892111 0.5504524597690367
